instance,n,edges,budget_ms,seed,solver,objective,has_incumbent,wall_ms,valid,status,bound,branches,conflicts
brock200-1.gph,200,14834,50,4,morph,6,,52.1098,1,heuristic,,,
brock200-1.gph,200,14834,50,4,cp-sat,nan,False,60.89212699998825,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,50,5,degree,4,,0.035815,1,heuristic,,,
brock200-1.gph,200,14834,50,5,random,4,,0.034643,1,heuristic,,,
brock200-1.gph,200,14834,50,5,local,4,,4.45571,1,heuristic,,,
brock200-1.gph,200,14834,50,5,morph,6,,50.4487,1,heuristic,,,
brock200-1.gph,200,14834,50,5,cp-sat,nan,False,60.5479590003597,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,100,1,degree,4,,0.045706,1,heuristic,,,
brock200-1.gph,200,14834,100,1,random,4,,0.049408,1,heuristic,,,
brock200-1.gph,200,14834,100,1,local,4,,4.44579,1,heuristic,,,
brock200-1.gph,200,14834,100,1,morph,6,,101.605,1,heuristic,,,
brock200-1.gph,200,14834,100,1,cp-sat,nan,False,118.57954299966877,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,100,2,degree,4,,0.04594,1,heuristic,,,
brock200-1.gph,200,14834,100,2,random,4,,0.035761,1,heuristic,,,
brock200-1.gph,200,14834,100,2,local,4,,4.4343,1,heuristic,,,
brock200-1.gph,200,14834,100,2,morph,6,,101.585,1,heuristic,,,
brock200-1.gph,200,14834,100,2,cp-sat,nan,False,115.30943800016757,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,100,3,degree,4,,0.037737,1,heuristic,,,
brock200-1.gph,200,14834,100,3,random,4,,0.04625,1,heuristic,,,
brock200-1.gph,200,14834,100,3,local,4,,4.88508,1,heuristic,,,
brock200-1.gph,200,14834,100,3,morph,6,,100.333,1,heuristic,,,
brock200-1.gph,200,14834,100,3,cp-sat,nan,False,115.56750299996565,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,100,4,degree,4,,0.035,1,heuristic,,,
brock200-1.gph,200,14834,100,4,random,4,,0.034271,1,heuristic,,,
brock200-1.gph,200,14834,100,4,local,4,,4.43406,1,heuristic,,,
brock200-1.gph,200,14834,100,4,morph,6,,101.053,1,heuristic,,,
brock200-1.gph,200,14834,100,4,cp-sat,nan,False,116.817600000104,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,100,5,degree,4,,0.035175,1,heuristic,,,
brock200-1.gph,200,14834,100,5,random,4,,0.041813,1,heuristic,,,
brock200-1.gph,200,14834,100,5,local,4,,4.90436,1,heuristic,,,
brock200-1.gph,200,14834,100,5,morph,6,,100.478,1,heuristic,,,
brock200-1.gph,200,14834,100,5,cp-sat,nan,False,97.45570299992323,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,1000,1,degree,4,,0.03517,1,heuristic,,,
brock200-1.gph,200,14834,1000,1,random,4,,0.034888,1,heuristic,,,
brock200-1.gph,200,14834,1000,1,local,4,,4.44558,1,heuristic,,,
brock200-1.gph,200,14834,1000,1,morph,6,,1003.24,1,heuristic,,,
brock200-1.gph,200,14834,1000,1,cp-sat,4,True,962.894253000286,1,FEASIBLE,14.0,577,0
brock200-1.gph,200,14834,1000,2,degree,4,,0.03515,1,heuristic,,,
brock200-1.gph,200,14834,1000,2,random,4,,0.035342,1,heuristic,,,
brock200-1.gph,200,14834,1000,2,local,4,,4.41137,1,heuristic,,,
brock200-1.gph,200,14834,1000,2,morph,6,,1000.57,1,heuristic,,,
brock200-1.gph,200,14834,1000,2,cp-sat,4,True,962.5441680000222,1,FEASIBLE,14.0,577,0
brock200-1.gph,200,14834,1000,3,degree,4,,0.035119,1,heuristic,,,
brock200-1.gph,200,14834,1000,3,random,4,,0.038351,1,heuristic,,,
brock200-1.gph,200,14834,1000,3,local,4,,8.08438,1,heuristic,,,
brock200-1.gph,200,14834,1000,3,morph,6,,1000.75,1,heuristic,,,
brock200-1.gph,200,14834,1000,3,cp-sat,nan,False,1000.6150549997983,0,UNKNOWN,14.0,461,0
brock200-1.gph,200,14834,1000,4,degree,4,,0.047299,1,heuristic,,,
brock200-1.gph,200,14834,1000,4,random,4,,0.047421,1,heuristic,,,
brock200-1.gph,200,14834,1000,4,local,4,,7.11484,1,heuristic,,,
brock200-1.gph,200,14834,1000,4,morph,6,,1002.32,1,heuristic,,,
brock200-1.gph,200,14834,1000,4,cp-sat,4,True,1001.2634559998332,1,FEASIBLE,14.0,577,0
brock200-1.gph,200,14834,1000,5,degree,4,,0.059853,1,heuristic,,,
brock200-1.gph,200,14834,1000,5,random,4,,0.034451,1,heuristic,,,
brock200-1.gph,200,14834,1000,5,local,4,,4.4187,1,heuristic,,,
brock200-1.gph,200,14834,1000,5,morph,6,,1002.06,1,heuristic,,,
brock200-1.gph,200,14834,1000,5,cp-sat,4,True,1001.9746779998968,1,FEASIBLE,14.0,978,0
R_500_005_1.gph,500,6256,10,1,degree,69,,0.08902,1,heuristic,,,
R_500_005_1.gph,500,6256,10,1,random,71,,0.07934,1,heuristic,,,
R_500_005_1.gph,500,6256,10,1,local,71,,0.450121,1,heuristic,,,
R_500_005_1.gph,500,6256,10,1,morph,82,,10.491,1,heuristic,,,
R_500_005_1.gph,500,6256,10,1,cp-sat,nan,False,8.111918999929912,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,10,2,degree,69,,0.101734,1,heuristic,,,
R_500_005_1.gph,500,6256,10,2,random,69,,0.077968,1,heuristic,,,
R_500_005_1.gph,500,6256,10,2,local,69,,0.455381,1,heuristic,,,
R_500_005_1.gph,500,6256,10,2,morph,85,,10.4873,1,heuristic,,,
R_500_005_1.gph,500,6256,10,2,cp-sat,nan,False,8.171097000285954,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,10,3,degree,69,,0.088714,1,heuristic,,,
R_500_005_1.gph,500,6256,10,3,random,68,,0.075562,1,heuristic,,,
R_500_005_1.gph,500,6256,10,3,local,68,,0.454589,1,heuristic,,,
R_500_005_1.gph,500,6256,10,3,morph,83,,10.4631,1,heuristic,,,
R_500_005_1.gph,500,6256,10,3,cp-sat,nan,False,8.727097999781108,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,10,4,degree,69,,0.07797,1,heuristic,,,
R_500_005_1.gph,500,6256,10,4,random,65,,0.07937,1,heuristic,,,
R_500_005_1.gph,500,6256,10,4,local,65,,0.480632,1,heuristic,,,
R_500_005_1.gph,500,6256,10,4,morph,83,,10.8381,1,heuristic,,,
R_500_005_1.gph,500,6256,10,4,cp-sat,nan,False,8.214221999878646,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,10,5,degree,69,,0.087995,1,heuristic,,,
R_500_005_1.gph,500,6256,10,5,random,70,,0.074377,1,heuristic,,,
R_500_005_1.gph,500,6256,10,5,local,70,,0.463338,1,heuristic,,,
R_500_005_1.gph,500,6256,10,5,morph,86,,10.5655,1,heuristic,,,
R_500_005_1.gph,500,6256,10,5,cp-sat,nan,False,8.563844000036624,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,50,1,degree,69,,0.076943,1,heuristic,,,
R_500_005_1.gph,500,6256,50,1,random,71,,0.077864,1,heuristic,,,
R_500_005_1.gph,500,6256,50,1,local,71,,0.464932,1,heuristic,,,
R_500_005_1.gph,500,6256,50,1,morph,85,,50.5986,1,heuristic,,,
R_500_005_1.gph,500,6256,50,1,cp-sat,nan,False,56.06457100020634,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,50,2,degree,69,,0.118029,1,heuristic,,,
R_500_005_1.gph,500,6256,50,2,random,69,,0.078518,1,heuristic,,,
R_500_005_1.gph,500,6256,50,2,local,69,,0.500745,1,heuristic,,,
R_500_005_1.gph,500,6256,50,2,morph,87,,50.2088,1,heuristic,,,
R_500_005_1.gph,500,6256,50,2,cp-sat,nan,False,55.47219899972333,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,50,3,degree,69,,0.089714,1,heuristic,,,
R_500_005_1.gph,500,6256,50,3,random,68,,0.093419,1,heuristic,,,
R_500_005_1.gph,500,6256,50,3,local,68,,0.50826,1,heuristic,,,
R_500_005_1.gph,500,6256,50,3,morph,86,,50.3912,1,heuristic,,,
R_500_005_1.gph,500,6256,50,3,cp-sat,nan,False,56.62308799992388,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,50,4,degree,69,,0.078122,1,heuristic,,,
R_500_005_1.gph,500,6256,50,4,random,65,,0.077739,1,heuristic,,,
R_500_005_1.gph,500,6256,50,4,local,65,,0.529533,1,heuristic,,,
R_500_005_1.gph,500,6256,50,4,morph,85,,50.3197,1,heuristic,,,
R_500_005_1.gph,500,6256,50,4,cp-sat,nan,False,55.30701300040164,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,50,5,degree,69,,0.07734,1,heuristic,,,
R_500_005_1.gph,500,6256,50,5,random,70,,0.077675,1,heuristic,,,
R_500_005_1.gph,500,6256,50,5,local,70,,0.462611,1,heuristic,,,
R_500_005_1.gph,500,6256,50,5,morph,86,,50.5662,1,heuristic,,,
R_500_005_1.gph,500,6256,50,5,cp-sat,nan,False,55.48708100013755,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,100,1,degree,69,,0.078221,1,heuristic,,,
R_500_005_1.gph,500,6256,100,1,random,71,,0.080147,1,heuristic,,,
R_500_005_1.gph,500,6256,100,1,local,71,,0.483285,1,heuristic,,,
R_500_005_1.gph,500,6256,100,1,morph,86,,100.194,1,heuristic,,,
R_500_005_1.gph,500,6256,100,1,cp-sat,nan,False,102.8123549999691,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,100,2,degree,69,,0.078888,1,heuristic,,,
R_500_005_1.gph,500,6256,100,2,random,69,,0.084917,1,heuristic,,,
R_500_005_1.gph,500,6256,100,2,local,69,,0.501198,1,heuristic,,,
R_500_005_1.gph,500,6256,100,2,morph,87,,100.507,1,heuristic,,,
R_500_005_1.gph,500,6256,100,2,cp-sat,nan,False,103.21418600005927,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,100,3,degree,69,,0.077643,1,heuristic,,,
R_500_005_1.gph,500,6256,100,3,random,68,,0.07688,1,heuristic,,,
R_500_005_1.gph,500,6256,100,3,local,68,,0.451458,1,heuristic,,,
R_500_005_1.gph,500,6256,100,3,morph,86,,100.292,1,heuristic,,,
R_500_005_1.gph,500,6256,100,3,cp-sat,nan,False,101.95816799978275,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,100,4,degree,69,,0.077488,1,heuristic,,,
R_500_005_1.gph,500,6256,100,4,random,65,,0.075923,1,heuristic,,,
R_500_005_1.gph,500,6256,100,4,local,65,,0.482177,1,heuristic,,,
R_500_005_1.gph,500,6256,100,4,morph,85,,100.334,1,heuristic,,,
R_500_005_1.gph,500,6256,100,4,cp-sat,nan,False,102.71663999992597,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,100,5,degree,69,,0.07899,1,heuristic,,,
R_500_005_1.gph,500,6256,100,5,random,70,,0.076101,1,heuristic,,,
R_500_005_1.gph,500,6256,100,5,local,70,,0.471237,1,heuristic,,,
R_500_005_1.gph,500,6256,100,5,morph,86,,100.674,1,heuristic,,,
R_500_005_1.gph,500,6256,100,5,cp-sat,nan,False,103.15463799997815,0,UNKNOWN,0.0,0,0
R_500_005_1.gph,500,6256,1000,1,degree,69,,0.121808,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,1,random,71,,0.096082,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,1,local,71,,0.83918,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,1,morph,87,,1000.66,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,1,cp-sat,nan,False,1001.5111100001377,0,UNKNOWN,161.0,2021,0
R_500_005_1.gph,500,6256,1000,2,degree,69,,0.089792,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,2,random,69,,0.095733,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,2,local,69,,0.58723,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,2,morph,87,,1000.5,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,2,cp-sat,nan,False,988.6154109999552,0,UNKNOWN,160.0,2021,0
R_500_005_1.gph,500,6256,1000,3,degree,69,,0.093018,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,3,random,68,,0.104362,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,3,local,68,,0.507717,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,3,morph,86,,1000.39,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,3,cp-sat,nan,False,1010.2710810001554,0,UNKNOWN,160.0,2008,0
R_500_005_1.gph,500,6256,1000,4,degree,69,,0.09747,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,4,random,65,,0.096178,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,4,local,65,,0.581295,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,4,morph,87,,1000.78,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,4,cp-sat,nan,False,1000.9826659997998,0,UNKNOWN,160.0,2015,0
R_500_005_1.gph,500,6256,1000,5,degree,69,,0.076968,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,5,random,70,,0.076337,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,5,local,70,,0.4984,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,5,morph,87,,1000.16,1,heuristic,,,
R_500_005_1.gph,500,6256,1000,5,cp-sat,nan,False,999.7812480000903,0,UNKNOWN,161.0,2022,0
C500-9.gph,500,12418,10,1,degree,41,,0.078751,1,heuristic,,,
C500-9.gph,500,12418,10,1,random,42,,0.080422,1,heuristic,,,
C500-9.gph,500,12418,10,1,local,42,,1.1017,1,heuristic,,,
C500-9.gph,500,12418,10,1,morph,53,,10.1954,1,heuristic,,,
C500-9.gph,500,12418,10,1,cp-sat,nan,False,15.935721000005287,0,UNKNOWN,0.0,0,0
C500-9.gph,500,12418,10,2,degree,41,,0.077688,1,heuristic,,,
C500-9.gph,500,12418,10,2,random,43,,0.080797,1,heuristic,,,
C500-9.gph,500,12418,10,2,local,43,,1.12074,1,heuristic,,,
C500-9.gph,500,12418,10,2,morph,53,,11.5567,1,heuristic,,,
C500-9.gph,500,12418,10,2,cp-sat,nan,False,15.497500999572367,0,UNKNOWN,0.0,0,0
C500-9.gph,500,12418,10,3,degree,41,,0.100181,1,heuristic,,,
C500-9.gph,500,12418,10,3,random,42,,0.079224,1,heuristic,,,
C500-9.gph,500,12418,10,3,local,42,,1.12533,1,heuristic,,,
C500-9.gph,500,12418,10,3,morph,51,,10.2771,1,heuristic,,,
C500-9.gph,500,12418,10,3,cp-sat,nan,False,15.478371999961382,0,UNKNOWN,0.0,0,0
C500-9.gph,500,12418,10,4,degree,41,,0.07898,1,heuristic,,,
C500-9.gph,500,12418,10,4,random,42,,0.078311,1,heuristic,,,
C500-9.gph,500,12418,10,4,local,42,,1.09306,1,heuristic,,,
C500-9.gph,500,12418,10,4,morph,53,,11.4482,1,heuristic,,,
C500-9.gph,500,12418,10,4,cp-sat,nan,False,16.444134000266786,0,UNKNOWN,0.0,0,0
C500-9.gph,500,12418,10,5,degree,41,,0.085823,1,heuristic,,,
C500-9.gph,500,12418,10,5,random,43,,0.08208,1,heuristic,,,
C500-9.gph,500,12418,10,5,local,43,,1.09406,1,heuristic,,,
C500-9.gph,500,12418,10,5,morph,53,,10.2411,1,heuristic,,,
C500-9.gph,500,12418,10,5,cp-sat,nan,False,16.021124999952008,0,UNKNOWN,0.0,0,0
C500-9.gph,500,12418,50,1,degree,41,,0.0768,1,heuristic,,,
C500-9.gph,500,12418,50,1,random,42,,0.080501,1,heuristic,,,
C500-9.gph,500,12418,50,1,local,42,,1.08807,1,heuristic,,,
C500-9.gph,500,12418,50,1,morph,53,,51.4891,1,heuristic,,,
